code,date,value,description
TETCEUS,197301,454.3,Total Energy CO2 Emissions
TETCEUS,197302,415.351,Total Energy CO2 Emissions
TETCEUS,197303,407.758,Total Energy CO2 Emissions
TETCEUS,197304,368.216,Total Energy CO2 Emissions
TETCEUS,197305,376.081,Total Energy CO2 Emissions
TETCEUS,197306,360.003,Total Energy CO2 Emissions
TETCEUS,197307,369.621,Total Energy CO2 Emissions
TETCEUS,197308,385.367,Total Energy CO2 Emissions
TETCEUS,197309,361.381,Total Energy CO2 Emissions
TETCEUS,197310,385.358,Total Energy CO2 Emissions
TETCEUS,197311,408.678,Total Energy CO2 Emissions
TETCEUS,197312,429.85,Total Energy CO2 Emissions
TETCEUS,197401,429.333,Total Energy CO2 Emissions
TETCEUS,197402,390.817,Total Energy CO2 Emissions
TETCEUS,197403,392.583,Total Energy CO2 Emissions
TETCEUS,197404,361.058,Total Energy CO2 Emissions
TETCEUS,197405,360.141,Total Energy CO2 Emissions
TETCEUS,197406,346.917,Total Energy CO2 Emissions
TETCEUS,197407,367.535,Total Energy CO2 Emissions
TETCEUS,197408,370.01,Total Energy CO2 Emissions
TETCEUS,197409,350.019,Total Energy CO2 Emissions
TETCEUS,197410,381.702,Total Energy CO2 Emissions
TETCEUS,197411,386.01,Total Energy CO2 Emissions
TETCEUS,197412,425.096,Total Energy CO2 Emissions
TETCEUS,197501,438.815,Total Energy CO2 Emissions
TETCEUS,197502,384.012,Total Energy CO2 Emissions
TETCEUS,197503,393.682,Total Energy CO2 Emissions
TETCEUS,197504,357.751,Total Energy CO2 Emissions
TETCEUS,197505,336.103,Total Energy CO2 Emissions
TETCEUS,197506,333.135,Total Energy CO2 Emissions
TETCEUS,197507,346.624,Total Energy CO2 Emissions
TETCEUS,197508,352.972,Total Energy CO2 Emissions
TETCEUS,197509,336.634,Total Energy CO2 Emissions
TETCEUS,197510,360.343,Total Energy CO2 Emissions
TETCEUS,197511,357.903,Total Energy CO2 Emissions
TETCEUS,197512,428.469,Total Energy CO2 Emissions
TETCEUS,197601,452.36,Total Energy CO2 Emissions
TETCEUS,197602,394.326,Total Energy CO2 Emissions
TETCEUS,197603,395.728,Total Energy CO2 Emissions
TETCEUS,197604,364.25,Total Energy CO2 Emissions
TETCEUS,197605,356.882,Total Energy CO2 Emissions
TETCEUS,197606,357.523,Total Energy CO2 Emissions
TETCEUS,197607,369.286,Total Energy CO2 Emissions
TETCEUS,197608,366.882,Total Energy CO2 Emissions
TETCEUS,197609,353.777,Total Energy CO2 Emissions
TETCEUS,197610,384.073,Total Energy CO2 Emissions
TETCEUS,197611,420.048,Total Energy CO2 Emissions
TETCEUS,197612,478.997,Total Energy CO2 Emissions
TETCEUS,197701,489.281,Total Energy CO2 Emissions
TETCEUS,197702,418.962,Total Energy CO2 Emissions
TETCEUS,197703,408.037,Total Energy CO2 Emissions
TETCEUS,197704,370.016,Total Energy CO2 Emissions
TETCEUS,197705,370.18,Total Energy CO2 Emissions
TETCEUS,197706,376.614,Total Energy CO2 Emissions
TETCEUS,197707,387.507,Total Energy CO2 Emissions
TETCEUS,197708,391.264,Total Energy CO2 Emissions
TETCEUS,197709,377.076,Total Energy CO2 Emissions
TETCEUS,197710,387.758,Total Energy CO2 Emissions
TETCEUS,197711,399.75,Total Energy CO2 Emissions
TETCEUS,197712,459.1,Total Energy CO2 Emissions
TETCEUS,197801,469.889,Total Energy CO2 Emissions
TETCEUS,197802,430.785,Total Energy CO2 Emissions
TETCEUS,197803,422.829,Total Energy CO2 Emissions
TETCEUS,197804,376.735,Total Energy CO2 Emissions
TETCEUS,197805,385.561,Total Energy CO2 Emissions
TETCEUS,197806,374.702,Total Energy CO2 Emissions
TETCEUS,197807,386.289,Total Energy CO2 Emissions
TETCEUS,197808,399.505,Total Energy CO2 Emissions
TETCEUS,197809,374.175,Total Energy CO2 Emissions
TETCEUS,197810,392.82,Total Energy CO2 Emissions
TETCEUS,197811,410.161,Total Energy CO2 Emissions
TETCEUS,197812,460.433,Total Energy CO2 Emissions
TETCEUS,197901,494.631,Total Energy CO2 Emissions
TETCEUS,197902,454.449,Total Energy CO2 Emissions
TETCEUS,197903,435.992,Total Energy CO2 Emissions
TETCEUS,197904,382.909,Total Energy CO2 Emissions
TETCEUS,197905,387.539,Total Energy CO2 Emissions
TETCEUS,197906,377.983,Total Energy CO2 Emissions
TETCEUS,197907,385.36,Total Energy CO2 Emissions
TETCEUS,197908,398.041,Total Energy CO2 Emissions
TETCEUS,197909,370.379,Total Energy CO2 Emissions
TETCEUS,197910,399.546,Total Energy CO2 Emissions
TETCEUS,197911,407.952,Total Energy CO2 Emissions
TETCEUS,197912,451.859,Total Energy CO2 Emissions
TETCEUS,198001,463.558,Total Energy CO2 Emissions
TETCEUS,198002,438.026,Total Energy CO2 Emissions
TETCEUS,198003,427.419,Total Energy CO2 Emissions
TETCEUS,198004,373.297,Total Energy CO2 Emissions
TETCEUS,198005,360.645,Total Energy CO2 Emissions
TETCEUS,198006,354.753,Total Energy CO2 Emissions
TETCEUS,198007,375.787,Total Energy CO2 Emissions
TETCEUS,198008,371.068,Total Energy CO2 Emissions
TETCEUS,198009,362.674,Total Energy CO2 Emissions
TETCEUS,198010,381.419,Total Energy CO2 Emissions
TETCEUS,198011,390.894,Total Energy CO2 Emissions
TETCEUS,198012,450.698,Total Energy CO2 Emissions
TETCEUS,198101,469.631,Total Energy CO2 Emissions
TETCEUS,198102,396.236,Total Energy CO2 Emissions
TETCEUS,198103,400.991,Total Energy CO2 Emissions
TETCEUS,198104,355.66,Total Energy CO2 Emissions
TETCEUS,198105,356.561,Total Energy CO2 Emissions
TETCEUS,198106,362.375,Total Energy CO2 Emissions
TETCEUS,198107,379.607,Total Energy CO2 Emissions
TETCEUS,198108,371.801,Total Energy CO2 Emissions
TETCEUS,198109,355.292,Total Energy CO2 Emissions
TETCEUS,198110,374.974,Total Energy CO2 Emissions
TETCEUS,198111,373.278,Total Energy CO2 Emissions
TETCEUS,198112,430.673,Total Energy CO2 Emissions
TETCEUS,198201,452.335,Total Energy CO2 Emissions
TETCEUS,198202,393.393,Total Energy CO2 Emissions
TETCEUS,198203,392.341,Total Energy CO2 Emissions
TETCEUS,198204,363.164,Total Energy CO2 Emissions
TETCEUS,198205,336.478,Total Energy CO2 Emissions
TETCEUS,198206,331.981,Total Energy CO2 Emissions
TETCEUS,198207,350.681,Total Energy CO2 Emissions
TETCEUS,198208,352.034,Total Energy CO2 Emissions
TETCEUS,198209,333.115,Total Energy CO2 Emissions
TETCEUS,198210,342.869,Total Energy CO2 Emissions
TETCEUS,198211,358.37,Total Energy CO2 Emissions
TETCEUS,198212,387.409,Total Energy CO2 Emissions
TETCEUS,198301,410.061,Total Energy CO2 Emissions
TETCEUS,198302,359.094,Total Energy CO2 Emissions
TETCEUS,198303,381.061,Total Energy CO2 Emissions
TETCEUS,198304,346.779,Total Energy CO2 Emissions
TETCEUS,198305,335.843,Total Energy CO2 Emissions
TETCEUS,198306,336.826,Total Energy CO2 Emissions
TETCEUS,198307,360.1,Total Energy CO2 Emissions
TETCEUS,198308,373.936,Total Energy CO2 Emissions
TETCEUS,198309,345.412,Total Energy CO2 Emissions
TETCEUS,198310,345.006,Total Energy CO2 Emissions
TETCEUS,198311,358.676,Total Energy CO2 Emissions
TETCEUS,198312,417.861,Total Energy CO2 Emissions
TETCEUS,198401,460.836,Total Energy CO2 Emissions
TETCEUS,198402,393.426,Total Energy CO2 Emissions
TETCEUS,198403,410.207,Total Energy CO2 Emissions
TETCEUS,198404,372.786,Total Energy CO2 Emissions
TETCEUS,198405,364.6,Total Energy CO2 Emissions
TETCEUS,198406,361.265,Total Energy CO2 Emissions
TETCEUS,198407,369.774,Total Energy CO2 Emissions
TETCEUS,198408,382.484,Total Energy CO2 Emissions
TETCEUS,198409,346.208,Total Energy CO2 Emissions
TETCEUS,198410,361.737,Total Energy CO2 Emissions
TETCEUS,198411,371.845,Total Energy CO2 Emissions
TETCEUS,198412,400.991,Total Energy CO2 Emissions
TETCEUS,198501,443.387,Total Energy CO2 Emissions
TETCEUS,198502,410.151,Total Energy CO2 Emissions
TETCEUS,198503,393.249,Total Energy CO2 Emissions
TETCEUS,198504,366.593,Total Energy CO2 Emissions
TETCEUS,198505,360.092,Total Energy CO2 Emissions
TETCEUS,198506,352.165,Total Energy CO2 Emissions
TETCEUS,198507,372.698,Total Energy CO2 Emissions
TETCEUS,198508,378.958,Total Energy CO2 Emissions
TETCEUS,198509,344.226,Total Energy CO2 Emissions
TETCEUS,198510,362.802,Total Energy CO2 Emissions
TETCEUS,198511,365.208,Total Energy CO2 Emissions
TETCEUS,198512,437.55,Total Energy CO2 Emissions
TETCEUS,198601,448.17,Total Energy CO2 Emissions
TETCEUS,198602,398.487,Total Energy CO2 Emissions
TETCEUS,198603,405.681,Total Energy CO2 Emissions
TETCEUS,198604,362.609,Total Energy CO2 Emissions
TETCEUS,198605,362.177,Total Energy CO2 Emissions
TETCEUS,198606,362.344,Total Energy CO2 Emissions
TETCEUS,198607,386.008,Total Energy CO2 Emissions
TETCEUS,198608,375.686,Total Energy CO2 Emissions
TETCEUS,198609,347.502,Total Energy CO2 Emissions
TETCEUS,198610,360.215,Total Energy CO2 Emissions
TETCEUS,198611,366.94,Total Energy CO2 Emissions
TETCEUS,198612,422.5,Total Energy CO2 Emissions
TETCEUS,198701,446.847,Total Energy CO2 Emissions
TETCEUS,198702,401.368,Total Energy CO2 Emissions
TETCEUS,198703,401.955,Total Energy CO2 Emissions
TETCEUS,198704,377.183,Total Energy CO2 Emissions
TETCEUS,198705,370.686,Total Energy CO2 Emissions
TETCEUS,198706,380.184,Total Energy CO2 Emissions
TETCEUS,198707,404.381,Total Energy CO2 Emissions
TETCEUS,198708,397.36,Total Energy CO2 Emissions
TETCEUS,198709,367.931,Total Energy CO2 Emissions
TETCEUS,198710,384.402,Total Energy CO2 Emissions
TETCEUS,198711,383.458,Total Energy CO2 Emissions
TETCEUS,198712,440.705,Total Energy CO2 Emissions
TETCEUS,198801,471.297,Total Energy CO2 Emissions
TETCEUS,198802,440.391,Total Energy CO2 Emissions
TETCEUS,198803,437.328,Total Energy CO2 Emissions
TETCEUS,198804,385.707,Total Energy CO2 Emissions
TETCEUS,198805,379.32,Total Energy CO2 Emissions
TETCEUS,198806,391.111,Total Energy CO2 Emissions
TETCEUS,198807,408.016,Total Energy CO2 Emissions
TETCEUS,198808,424.726,Total Energy CO2 Emissions
TETCEUS,198809,378.697,Total Energy CO2 Emissions
TETCEUS,198810,398.133,Total Energy CO2 Emissions
TETCEUS,198811,406.039,Total Energy CO2 Emissions
TETCEUS,198812,459.931,Total Energy CO2 Emissions
TETCEUS,198901,459.557,Total Energy CO2 Emissions
TETCEUS,198902,438.53,Total Energy CO2 Emissions
TETCEUS,198903,453.059,Total Energy CO2 Emissions
TETCEUS,198904,399.107,Total Energy CO2 Emissions
TETCEUS,198905,394.009,Total Energy CO2 Emissions
TETCEUS,198906,399.007,Total Energy CO2 Emissions
TETCEUS,198907,406.49,Total Energy CO2 Emissions
TETCEUS,198908,416.044,Total Energy CO2 Emissions
TETCEUS,198909,385.199,Total Energy CO2 Emissions
TETCEUS,198910,403.326,Total Energy CO2 Emissions
TETCEUS,198911,414.28,Total Energy CO2 Emissions
TETCEUS,198912,499.302,Total Energy CO2 Emissions
TETCEUS,199001,464.897,Total Energy CO2 Emissions
TETCEUS,199002,414.403,Total Energy CO2 Emissions
TETCEUS,199003,433.556,Total Energy CO2 Emissions
TETCEUS,199004,403.915,Total Energy CO2 Emissions
TETCEUS,199005,401.193,Total Energy CO2 Emissions
TETCEUS,199006,405.172,Total Energy CO2 Emissions
TETCEUS,199007,419.669,Total Energy CO2 Emissions
TETCEUS,199008,434.838,Total Energy CO2 Emissions
TETCEUS,199009,395.482,Total Energy CO2 Emissions
TETCEUS,199010,410.16,Total Energy CO2 Emissions
TETCEUS,199011,405.707,Total Energy CO2 Emissions
TETCEUS,199012,450.912,Total Energy CO2 Emissions
TETCEUS,199101,476.813,Total Energy CO2 Emissions
TETCEUS,199102,405.748,Total Energy CO2 Emissions
TETCEUS,199103,421.929,Total Energy CO2 Emissions
TETCEUS,199104,387.789,Total Energy CO2 Emissions
TETCEUS,199105,392.247,Total Energy CO2 Emissions
TETCEUS,199106,394.023,Total Energy CO2 Emissions
TETCEUS,199107,418.57,Total Energy CO2 Emissions
TETCEUS,199108,420.826,Total Energy CO2 Emissions
TETCEUS,199109,392.217,Total Energy CO2 Emissions
TETCEUS,199110,408.563,Total Energy CO2 Emissions
TETCEUS,199111,420.271,Total Energy CO2 Emissions
TETCEUS,199112,455.611,Total Energy CO2 Emissions
TETCEUS,199201,471.386,Total Energy CO2 Emissions
TETCEUS,199202,427.866,Total Energy CO2 Emissions
TETCEUS,199203,441.794,Total Energy CO2 Emissions
TETCEUS,199204,410.642,Total Energy CO2 Emissions
TETCEUS,199205,400.353,Total Energy CO2 Emissions
TETCEUS,199206,395.591,Total Energy CO2 Emissions
TETCEUS,199207,428.422,Total Energy CO2 Emissions
TETCEUS,199208,416.075,Total Energy CO2 Emissions
TETCEUS,199209,397.712,Total Energy CO2 Emissions
TETCEUS,199210,411.801,Total Energy CO2 Emissions
TETCEUS,199211,418.033,Total Energy CO2 Emissions
TETCEUS,199212,475.263,Total Energy CO2 Emissions
TETCEUS,199301,462.061,Total Energy CO2 Emissions
TETCEUS,199302,439.134,Total Energy CO2 Emissions
TETCEUS,199303,465.081,Total Energy CO2 Emissions
TETCEUS,199304,408.383,Total Energy CO2 Emissions
TETCEUS,199305,390.209,Total Energy CO2 Emissions
TETCEUS,199306,405.045,Total Energy CO2 Emissions
TETCEUS,199307,437.737,Total Energy CO2 Emissions
TETCEUS,199308,438.225,Total Energy CO2 Emissions
TETCEUS,199309,406.562,Total Energy CO2 Emissions
TETCEUS,199310,417.691,Total Energy CO2 Emissions
TETCEUS,199311,434.71,Total Energy CO2 Emissions
TETCEUS,199312,480.913,Total Energy CO2 Emissions
TETCEUS,199401,509.587,Total Energy CO2 Emissions
TETCEUS,199402,461.161,Total Energy CO2 Emissions
TETCEUS,199403,453.021,Total Energy CO2 Emissions
TETCEUS,199404,413.701,Total Energy CO2 Emissions
TETCEUS,199405,408.551,Total Energy CO2 Emissions
TETCEUS,199406,428.059,Total Energy CO2 Emissions
TETCEUS,199407,435.317,Total Energy CO2 Emissions
TETCEUS,199408,442.663,Total Energy CO2 Emissions
TETCEUS,199409,406.193,Total Energy CO2 Emissions
TETCEUS,199410,417.568,Total Energy CO2 Emissions
TETCEUS,199411,417.696,Total Energy CO2 Emissions
TETCEUS,199412,470.037,Total Energy CO2 Emissions
TETCEUS,199501,480.657,Total Energy CO2 Emissions
TETCEUS,199502,447.543,Total Energy CO2 Emissions
TETCEUS,199503,454.032,Total Energy CO2 Emissions
TETCEUS,199504,412.553,Total Energy CO2 Emissions
TETCEUS,199505,415.516,Total Energy CO2 Emissions
TETCEUS,199506,422.119,Total Energy CO2 Emissions
TETCEUS,199507,445.058,Total Energy CO2 Emissions
TETCEUS,199508,465.773,Total Energy CO2 Emissions
TETCEUS,199509,419.764,Total Energy CO2 Emissions
TETCEUS,199510,421.151,Total Energy CO2 Emissions
TETCEUS,199511,444.477,Total Energy CO2 Emissions
TETCEUS,199512,494.563,Total Energy CO2 Emissions
TETCEUS,199601,513.941,Total Energy CO2 Emissions
TETCEUS,199602,476.105,Total Energy CO2 Emissions
TETCEUS,199603,477.145,Total Energy CO2 Emissions
TETCEUS,199604,430.081,Total Energy CO2 Emissions
TETCEUS,199605,432.961,Total Energy CO2 Emissions
TETCEUS,199606,433.643,Total Energy CO2 Emissions
TETCEUS,199607,454.741,Total Energy CO2 Emissions
TETCEUS,199608,461.767,Total Energy CO2 Emissions
TETCEUS,199609,421.368,Total Energy CO2 Emissions
