state,day,vaccinations
Alabama,03252021,1579091
Alaska,03252021,384503
Arizona,03252021,3106598
Arkansas,03252021,1056307
California,03252021,16062266
Colorado,03252021,2388899
Connecticut,03252021,1737160
Delaware,03252021,406635
Florida,03252021,8603007
Georgia,03252021,3434860
Hawaii,03252021,642642
Idaho,03252021,678747
Illinois,03252021,5287852
Indiana,03252021,2540707
Iowa,03252021,1369302
Kansas,03252021,1140488
Kentucky,03252021,1876610
Louisiana,03252021,1756494
Maine,03252021,620556
Maryland,03252021,2464830
Massachusetts,03252021,3196050
Michigan,03252021,3914742
Minnesota,03252021,2417606
Mississippi,03252021,1049528
Missouri,03252021,2276318
Montana,03252021,463857
Nebraska,03252021,836012
Nevada,03252021,1214518
New Hampshire,03252021,566168
New Jersey,03252021,3869393
New Mexico,03252021,1135178
New York ,03252021,7986362
North Carolina,03252021,4240056
North Dakota,03252021,369029
Ohio,03252021,4679419
Oklahoma,03252021,1753658
Oregon,03252021,1657083
Pennsylvania,03252021,5325139
Rhode Island,03252021,497475
South Carolina,03252021,1926363
South Dakota,03252021,445142
Tennessee,03252021,2353612
Texas,03252021,10133617
Utah,03252021,1213732
Vermont,03252021,290680
Virginia,03252021,3529449
Washington,03252021,3170650
West Virginia,03252021,793552
Wisconsin,03252021,2576727
Wyoming,03252021,242919