year,month,unemployed,men,women
2008,Jan,8221000,4796000,3425000
2008,Feb,7953000,4661000,3292000
2008,Mar,8027000,4651000,3376000
2008,Apr,7287000,4119000,3168000
2008,May,8076000,4459000,3617000
2008,Jun,8933000,4818000,4115000
2008,Jul,9433000,5122000,4311000
2008,Aug,9479000,4872000,4606000
2008,Sep,9199000,5153000,4046000
2008,Oct,9469000,5344000,4125000
2008,Nov,10015000,5725000,4290000
2008,Dec,10999000,6678000,4320000
2009,Jan,13009000,7962000,5047000
2009,Feb,13699000,8517000,5182000
2009,Mar,13895000,8644000,5251000
2009,Apr,13248000,8107000,5141000
2009,May,13973000,8399000,5574000
2009,Jun,15095000,8647000,6448000
2009,Jul,15201000,8515000,6686000
2009,Aug,14823000,8363000,6460000
2009,Sep,14538000,8335000,6203000
2009,Oct,14547000,8462000,6085000
2009,Nov,14407000,8505000,5902000
2009,Dec,14740000,8985000,5756000
2010,Jan,16147000,10021000,6126000
2010,Feb,15991000,9923000,6068000
2010,Mar,15678000,9696000,5982000
2010,Apr,14609000,8699000,5910000
2010,May,14369000,8252000,6117000
2010,Jun,14885000,8521000,6363000
2010,Jul,15137000,8323000,6814000
2010,Aug,14759000,8093000,6666000
2010,Sep,14140000,7886000,6254000
2010,Oct,13903000,7705000,6198000
2010,Nov,14282000,8111000,6171000
2010,Dec,13997000,8278000,5719000
2011,Jan,14937000,8796000,6141000
2011,Feb,14542000,8564000,5978000
2011,Mar,14060000,8304000,5756000
2011,Apr,13237000,7593000,5644000
2011,May,13421000,7515000,5905000
2011,Jun,14409000,7910000,6499000
2011,Jul,14428000,7664000,6764000
2011,Aug,14008000,7422000,6587000
2011,Sep,13520000,7189000,6331000
2011,Oct,13102000,7151000,5951000
2011,Nov,12613000,6923000,5690000
2011,Dec,12692000,7181000,5511000
2017,Jan,8149000,4514000,3635000
2017,Feb,7887000,4463000,3424000
2017,Mar,7284000,4172000,3112000
2017,Apr,6555000,3509000,3046000
2017,May,6572000,3436000,3136000
2017,Jun,7250000,3740000,3510000
2017,Jul,7441000,3728000,3713000
2017,Aug,7287000,3659000,3628000
2017,Sep,6556000,3397000,3158000
2017,Oct,6242000,3362000,2880000
2017,Nov,6286000,3408000,2877000
2017,Dec,6278000,3531000,2747000
2018,Jan,7189000,4079000,3110000
2018,Feb,7091000,3977000,3114000
2018,Mar,6671000,3773000,2898000
2018,Apr,5932000,3355000,2576000
2018,May,5756000,3206000,2549000
2018,Jun,6812000,3573000,3238000
2018,Jul,6730000,3274000,3456000
2018,Aug,6370000,3150000,3220000
2018,Sep,5766000,3002000,2765000
2018,Oct,5771000,3029000,2742000
2018,Nov,5650000,2941000,2709000
2018,Dec,6029000,3417000,2612000
2019,Jan,7140000,4031000,3109000
2019,Feb,6625000,3745000,2880000
2019,Mar,6382000,3681000,2701000
2019,Apr,5387000,3064000,2323000
2019,May,5503000,2971000,2532000
2019,Jun,6292000,3226000,3066000
2019,Jul,6556000,3227000,3329000
2019,Aug,6203000,3078000,3125000
2019,Sep,5465000,2867000,2598000
2019,Oct,5510000,2906000,2603000
2019,Nov,5441000,2890000,2550000
2019,Dec,5503000,3033000,2471000
2020,Jan,6504000,3629000,2874000
2020,Feb,6218000,3549000,2668000
2020,Mar,7370000,4120000,3250000
2020,Apr,22504000,11010000,11494000
2020,May,20514000,9959000,10554000
2020,Jun,18072000,9004000,9068000
2020,Jul,16882000,8310000,8572000
2020,Aug,13742000,6889000,6853000
2020,Sep,12277000,6251000,6026000
2020,Oct,10620000,5670000,4950000
2020,Nov,10264000,5643000,4621000